serotype,sensitive,resistant,rfreq,prev,serotypef,serotyperank
22F,18,2,0.1,0.024125452352231604,22F,10
13,17,14,0.45161290322580644,0.03739445114595899,13,9
35B,2,30,0.9375,0.038600723763570564,35B,8
14,8,25,0.7575757575757576,0.039806996381182146,14,7
11A,29,5,0.14705882352941177,0.04101326899879373,11A,6
19A,21,29,0.58,0.06031363088057901,19A,5
23F,32,61,0.6559139784946236,0.11218335343787696,23F,4
6A,49,75,0.6048387096774194,0.14957780458383596,6A,3
6B,23,106,0.8217054263565892,0.15560916767189384,6B,2
19F,54,137,0.7172774869109948,0.23039806996381182,19F,1
